ID,ASPN,ISLR,SCN2B,HTRA1,HMGN2,SERPINA3,HMOX2,FCN3,GGT5,LAD1,ITPK1,FLII,FAM89B,TRIM8,Type
S219,8.670809912,9.00710353,5.673012205,15.97920981,8.241488881,-6.300397151,5.317511839,3.182791114,5.628100806,2.801446696,6.359951276,7.393828837,7.79654398,7.260388645,1
S220,7.84265685,9.232891597,5.014076711,12.29295778,10.03594284,-8.196737837,3.519144003,2.935832349,5.256686658,4.175711075,5.79703926,8.471548188,7.888748742,8.063640801,1
S221,7.777869661,6.245357138,5.749280928,9.987008749,10.64534708,-9.775641394,5.860867078,4.432706284,4.533437353,3.092465415,5.478122245,8.81433932,5.668246662,7.123244198,1
S222,8.233495359,10.05005975,5.31999319,19.62736901,8.853311334,4.617697228,5.307157923,1.342930982,5.911996478,2.23723966,6.998895308,8.032672654,5.357127665,7.114763181,1
S223,8.20292645,7.001159273,5.632189263,11.15907505,8.791720483,-5.231712443,3.894156938,8.115501967,4.907126308,4.644585439,5.147904038,6.120576811,6.545250618,4.81603078,1
S224,8.73784413,6.860125775,5.669813038,12.95227304,8.32690187,-6.225075275,7.157677083,6.935668085,5.808796097,4.169927597,5.037712402,5.57761729,5.336480186,6.123866572,1
S225,8.680171788,9.191545236,5.884982728,14.42452673,8.164311531,-4.455214002,3.230696515,1.514823471,6.099161684,4.249198474,5.38895677,6.015969564,5.219765329,5.938460951,1
S226,9.253406237,8.179424927,5.934884493,19.64556091,11.55897634,-6.173145099,3.368303605,1.849890243,5.784921258,2.110729219,5.915938196,6.776673673,6.238436844,8.339390655,1
S227,8.322312378,7.352572625,6.111796119,9.808720611,9.47901531,-4.300740422,3.468761749,1.990916498,4.799718448,2.400615547,5.161025525,7.279727028,4.107070817,4.881959478,1
S228,8.409953885,4.493032876,5.4576303,4.888228201,8.445472552,-7.405246923,5.93156974,4.773237165,5.358690921,3.187357129,4.788728677,5.955687084,4.080088887,5.927392379,1
S229,7.41922293,5.885540062,5.926452568,7.305399258,8.401025103,-7.033616883,6.704437248,5.365479169,5.380038682,3.725679106,5.977274146,6.612580684,4.219411855,5.555665312,1
S230,7.316004645,11.78448199,3.939236339,20.61366185,8.845117408,11.24824738,0.774533018,2.123607364,5.078275936,1.688047343,6.687898584,4.65659252,4.104751985,8.69005412,1
S231,7.578035866,5.474718718,5.226457588,4.705031657,9.018657733,-2.081870181,6.055337491,4.373190955,5.280019028,2.287325174,5.954499156,5.645395101,8.88878614,7.697820552,1
S232,8.944508095,7.186232695,5.575409368,9.355156785,6.935303412,-8.890822274,4.915969455,3.910414603,5.103819859,2.577700577,5.64577994,7.328497271,5.075473408,7.954701618,1
S233,8.820855419,7.98635875,5.468929316,10.65271395,10.57048775,-9.626991191,4.510908043,2.505367121,4.90742427,4.880468287,5.250795647,7.58411978,6.121944336,5.740188229,1
